id,緯度,経度,ジャンル1,サブジャンル1,ジャンル2,サブジャンル2,名称,概要,郵便番号,住所,電話番号,Fax番号,E-mail,営業時間,定休日,料金,備考1,備考2,備考3,リンク
90,37.526184,137.316629,消防・防災,緊急一時避難場所,,,狼煙林道,,,珠洲市狼煙町,,,,,,,標高:28.00m,想定津波高:10.3m,想定津波到達時間:5分,
91,37.526388,137.305284,消防・防災,緊急一時避難場所,,,市道246号線（長宗宅前）,,,珠洲市狼煙町横山,,,,,,,標高:60.60m,想定津波高:10.3m,想定津波到達時間:5分,
92,37.526679,137.30426,消防・防災,緊急一時避難場所,,,等覚寺,,927-1447,珠洲市川浦町１－３,,,,,,,標高:19.40m,想定津波高:7.1m,想定津波到達時間:5分,
93,37.524784,137.299554,消防・防災,緊急一時避難場所,,,県道28号線（川浦バス停）,,,珠洲市川浦町,,,,,,,標高:26.90m,想定津波高:7.1m,想定津波到達時間:5分,
94,37.525873,137.283633,消防・防災,緊急一時避難場所,,,旧日置小中学校,,,珠洲市折戸町,,,,,,,標高:28.00m,想定津波高:7.5m,想定津波到達時間:5分,
95,37.522678,137.278816,消防・防災,緊急一時避難場所,,,市道252号線（折戸）,,,珠洲市折戸町,,,,,,,標高:23.40m,想定津波高:7.5m,想定津波到達時間:5分,
96,37.52991,137.275071,消防・防災,緊急一時避難場所,,,県道28号線（木の浦隧道待避所）,,,珠洲市木の浦,,,,,,,標高:36.50m,想定津波高:7.5m,想定津波到達時間:5分,
97,37.52703,137.266418,消防・防災,緊急一時避難場所,,,旧国民宿舎きのうら荘駐車場,,,珠洲市木の浦,,,,,,,標高:33.60m,想定津波高:7.5m,想定津波到達時間:5分,
98,37.51804,137.240964,消防・防災,緊急一時避難場所,,,新保山出①,,,珠洲市高屋町,,,,,,,標高:34.30m,想定津波高:7.6m,想定津波到達時間:5分,
99,37.518432,137.24708,消防・防災,緊急一時避難場所,,,新保山出②,,,珠洲市高屋町,,,,,,,標高:70.90m,想定津波高:7.6m,想定津波到達時間:5分,
100,37.518657,137.237869,消防・防災,緊急一時避難場所,,,市道253-1号線（角内出）,,,珠洲市高屋町,,,,,,,標高:40.00m,想定津波高:7.6m,想定津波到達時間:5分,
101,37.517476,137.23553,消防・防災,緊急一時避難場所,,,円龍寺,,927-1301,珠洲市高屋町ワ－３３,,,,,,,標高:16.20m,想定津波高:7.6m,想定津波到達時間:5分,
102,37.515151,137.234543,消防・防災,緊急一時避難場所,,,市道268号線（高林宅裏）,,,珠洲市高屋町,,,,,,,標高:31.20m,想定津波高:7.6m,想定津波到達時間:5分,
103,37.511488,137.222124,消防・防災,緊急一時避難場所,,,新地谷地内①,,,珠洲市馬緤町,,,,,,,標高:32.80m,想定津波高:7.8m,想定津波到達時間:5分,
104,37.510347,137.221749,消防・防災,緊急一時避難場所,,,新地谷地内②,,,珠洲市馬緤町,,,,,,,標高:35.10m,想定津波高:7.8m,想定津波到達時間:5分,
105,37.507849,137.216915,消防・防災,緊急一時避難場所,,,市道38号線（中谷宅前）,,,珠洲市馬緤町,,,,,,,標高:17.10m,想定津波高:7.8m,想定津波到達時間:5分,
106,37.505157,137.212443,消防・防災,緊急一時避難場所,,,守禅寺,,927-1304 ,珠洲市馬緤町１６－１９８－２,,,,,,,標高:16.30m,想定津波高:7.8m,想定津波到達時間:5分,
107,37.503866,137.211283,消防・防災,緊急一時避難場所,,,市道272号線（忍久保宅前）,,,珠洲市馬緤町,,,,,,,標高:22.20m,想定津波高:7.8m,想定津波到達時間:5分,
108,37.504602,137.206696,消防・防災,緊急一時避難場所,,,馬緤児童公園,,,珠洲市馬緤町,,,,,,,標高:38.40m,想定津波高:7.8m,想定津波到達時間:5分,
109,37.506182,137.200911,消防・防災,緊急一時避難場所,,,本光寺,,927-1304 ,珠洲市馬緤町９－１４０,,,,,,,標高:33.10m,想定津波高:7.8m,想定津波到達時間:5分,
110,37.497776,137.183254,消防・防災,緊急一時避難場所,,,国道249号線（大谷峠登り口（大谷側）,,,珠洲市馬緤町赤神,,,,,,,標高:18.00m,想定津波高:7.8m,想定津波到達時間:5分,
111,37.499266,137.175261,消防・防災,緊急一時避難場所,,,高山,,,珠洲市大谷町,,,,,,,標高:17.10m,想定津波高:7.6m,想定津波到達時間:5分,
112,37.501186,137.171269,消防・防災,緊急一時避難場所,,,西部小学校,,927-1321,珠洲市大谷町２部４７番甲地,,,,,,,標高:44.10m,想定津波高:7.6m,想定津波到達時間:5分,
113,37.498632,137.172005,消防・防災,緊急一時避難場所,,,廣栄寺,,,珠洲市大谷町５－１３,,,,,,,標高:15.60m,想定津波高:7.6m,想定津波到達時間:5分,
114,37.501385,137.165283,消防・防災,緊急一時避難場所,,,市道284号線（末光山）,,,珠洲市大谷町,,,,,,,標高:32.40m,想定津波高:7.6m,想定津波到達時間:5分,
115,37.497643,137.154774,消防・防災,緊急一時避難場所,,,曹源寺,,927-1322,珠洲市長橋町２５－１７,,,,,,,標高:35.20m,想定津波高:9.1m,想定津波到達時間:5分,
116,37.495929,137.142393,消防・防災,緊急一時避難場所,,,市道244号線（抜鉾神社裏道）,,,珠洲市赤島,,,,,,,標高:26.70m,想定津波高:8.7m,想定津波到達時間:5分,
117,37.49209,137.130465,消防・防災,緊急一時避難場所,,,海蔵寺,,927-1323 ,珠洲市片岩町ラ６４,,,,,,,標高:26.90m,想定津波高:8.7m,想定津波到達時間:5分,
118,37.488225,137.119962,消防・防災,緊急一時避難場所,,,白山神社（清水）,,927-1324 ,珠洲市清水町２－９,,,,,,,標高:39.50m,想定津波高:8.2m,想定津波到達時間:5分,
119,37.485279,137.11622,消防・防災,緊急一時避難場所,,,農道大谷525号線,,,珠洲市清水町,,,,,,,標高:37.90m,想定津波高:8.2m,想定津波到達時間:5分,
120,37.481908,137.109236,消防・防災,緊急一時避難場所,,,林道仁江線,,,珠洲市仁江町,,,,,,,標高:27.20m,想定津波高:7.7m,想定津波到達時間:5分,
121,37.472758,137.095077,消防・防災,緊急一時避難場所,,,白山神社（真浦）,,,珠洲市真浦町,,,,,,,標高:30.20m,想定津波高:9.5m,想定津波到達時間:5分,
122,37.403511,137.239809,消防・防災,緊急一時避難場所,,,第三長寿園（屋上）,,927-1222,珠洲市宝立町鵜飼子３６－４,,,,,,,標高:16.00m,想定津波高:7.8m,想定津波到達時間:16分,
