全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英語,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),設置位置,緯度,経度,高度の種別,高度の値,男性トイレ総数,男性トイレ数（小便器）,男性トイレ数（和式）,男性トイレ数（洋式）,女性トイレ総数,女性トイレ数（和式）,女性トイレ数（洋式）,男女共用トイレ総数,男女共用トイレ数（和式）,男女共用トイレ数（洋式）,バリアフリートイレ数,車椅子使用者用トイレ有無,乳幼児用設備設置トイレ有無,オストメイト設置トイレ有無,利用開始時間,利用終了時間,利用可能時間特記事項,画像,画像_ライセンス,備考,,
170003,LL0000000014,石川県,赤瀬ダム管理事務所,アカゼダムカンリジムショ,Akaze Dam kanrijimusho,172031,,石川県小松市赤瀬町ハ16-4,石川県,小松市,赤瀬町,ハ16-4,,赤瀬ダム管理事務所下流側駐車場脇,36.29723,136.48508,,,3,2,0,1,2,0,2,0,0,0,0,無,無,無,0:00,23:59,24時間利用可能。冬期間（12月～3月）は閉鎖。,https://www.pref.ishikawa.lg.jp/digital/picture_toilet.html,CC BY 4.0,,,
170003,LL0000000015,石川県,赤瀬ダム自由広場,アカゼダムジユウヒロバ,Akaze Dam jiyuhiroba,172031,,石川県小松市大杉町地先,石川県,小松市,大杉町,地先,,自由広場下流側,36.27309,136.48382,,,3,2,0,1,2,0,2,1,0,1,0,有,有,無,0:00,23:59,24時間利用可能。冬期間（12月～3月）は閉鎖。,https://www.pref.ishikawa.lg.jp/digital/picture_toilet.html,CC BY 4.0,,,
170003,LL0000000016,石川県,珠洲リフレッシュ施設,スズリフレッシュシセツ,Suzu Refresh Shisetu,172057,,石川県珠洲市蛸島町メ部28番地,石川県,珠洲市,蛸島町,メ部28番地,,鉢ヶ崎わくわく夢らんど巨大遊具西側,37.44121543,137.3274397,,,8,6,0,2,5,0,5,1,0,1,1,有,有,有,0:00,23:59,24時間利用可。,,,,,
170003,LL0000000017,石川県,珠洲リフレッシュ施設,スズリフレッシュシセツ,Suzu Refresh Shisetu,172057,,石川県珠洲市蛸島町メ部28番地,石川県,珠洲市,蛸島町,メ部28番地,,鉢ヶ崎わくわく夢らんど巨大遊具東側,37.44116006,137.3296981,,,8,6,0,2,5,0,5,1,0,1,1,有,有,有,0:00,23:59,24時間利用可。,,,,,
170003,LL0000000018,石川県,兼六園,ケンロクエン,Kenrokuen Garden,172014,,石川県金沢市兼六町1,石川県,金沢市,兼六町,1,,兼六園観光案内所裏,36.56459,136.66227,,,3,2,0,1,2,0,2,0,0,0,0,無,無,無,0:00,23:59,24時間利用可。,https://www.pref.ishikawa.lg.jp/digital/picture_toilet.html,CC BY 4.0,,,
170003,LL0000000019,石川県,鞍月セントラルパーク,クラツキセントラルパーク,Kuratsuki Central Park,172014,,石川県金沢市鞍月1丁目,石川県,金沢市,鞍月,1丁目,,東口付近,36.59285296,136.6261387,,,4,3,0,1,2,0,2,2,0,2,2,有,有,無,6:00,18:00,,https://www.pref.ishikawa.lg.jp/digital/picture_toilet.html,CC BY 4.0,,,
170003,LL0000000020,石川県,犀川ダム管理事務所公衆便所,サイガワダムカンリジムショコウシュウベンジョ,Saigawa Dam kanrijimusho koushubenjo,172014,,石川県金沢市二又新町,石川県,金沢市,二又新町,,,犀川ダム管理事務所横,36.43153,13674703,,,2,1,1,0,1,1,0,0,0,0,0,無,無,無,0:00,23:59,24時間利用可能。冬期間（12月～3月）は閉鎖。,,,,,
170003,LL0000000021,石川県,能登歴史公園(石動山地区),ノトレキシコウエンセキドウザンチク,Noto rekishi park （sekidouzan),174076,,石川県鹿島郡中能登町石動山タ77,石川県,中能登町,石動山タ,77,,林道横,36.96387,136.96856,,,1,1,0,0,0,0,0,1,0,1,1,有,有,有,0:00,23:59,24時間利用可。,https://www.pref.ishikawa.lg.jp/digital/picture_toilet.html,CC BY 4.0,,,
170003,LL0000000022,石川県,能登歴史公園(国分寺地区),ノトレキシコウエンコクブンジチク,Noto rekishi park （kokubunzi),172022,,石川県七尾市国分町イ部1,石川県,七尾市,国分町イ部,1,,公園管理センターの西側,37.02465,136.95464,,,6,4,0,2,4,0,4,1,0,1,1,有,有,有,0:00,23:59,24時間利用可。,https://www.pref.ishikawa.lg.jp/digital/picture_toilet.html,CC BY 4.0,,,
170003,LL0000000023,石川県,能登歴史公園(国分寺地区),ノトレキシコウエンコクブンジチク,Noto rekishi park （kokubunzi),172022,,石川県七尾市国分町イ部1,石川県,七尾市,国分町イ部,1,,公園管理センターの南側,37.0218,136.95533,,,3,2,0,1,2,0,2,1,0,1,1,有,有,有,0:00,23:59,24時間利用可。,https://www.pref.ishikawa.lg.jp/digital/picture_toilet.html,CC BY 4.0,,,
